"value","time","normalizedValue","GT"
-2.7188,0,-0.103005968897009,"Normal"
-6.3125,0.002,-0.154753677043953,"Normal"
-11.531,0.004,-0.22989779451754,"Normal"
-13.469,0.006,-0.257804146853233,"Normal"
-7.75,0.008,-0.175453048293983,"Normal"
2.7188,0.01,-0.0247069072558521,"Normal"
10.812,0.012,0.0918316328490122,"Normal"
13.375,0.014,0.128737711815153,"Normal"
11.25,0.016,0.0981386412716301,"Normal"
5.8125,0.018,0.0198410195867341,"Normal"
0.28125,0.02,-0.059806561092729,"Normal"
-0.90625,0.022,-0.0769060416905798,"Normal"
0.34375,0.024,-0.0589065884296842,"Normal"
-1.0625,0.026,-0.0791559733481918,"Normal"
-5.0625,0.028,-0.136754223783058,"Normal"
-5.75,0.03,-0.14665392307655,"Normal"
-1.6562,0.032,-0.0877049936689868,"Normal"
0.625,0.034,-0.0548567114459827,"Normal"
-3.9375,0.036,-0.120554715848252,"Normal"
-12.5,0.038,-0.243850970685387,"Normal"
-17.031,0.04,-0.309095388865481,"Normal"
-16.031,0.042,-0.294695826256765,"Normal"
-12.562,0.044,-0.244743743567127,"Normal"
-9.0938,0.046,-0.194803180527577,"Normal"
-5.3438,0.048,-0.14080482074489,"Normal"
0.71875,0.05,-0.0535067524514155,"Normal"
7.7812,0.052,0.0481894384945143,"Normal"
15.156,0.054,0.154383332821277,"Normal"
22,0.056,0.252933939315332,"Normal"
25.781,0.058,0.307378685538889,"Normal"
26.438,0.06,0.316839198172816,"Normal"
24.906,0.062,0.294779068256262,"Normal"
21.562,0.064,0.246626930892715,"Normal"
16.344,0.066,0.171490013200432,"Normal"
9.1562,0.068,0.0679888370814995,"Normal"
0.78125,0.07,-0.0526067797883708,"Normal"
-7.1875,0.072,-0.16735329432658,"Normal"
-13.531,0.074,-0.258696919734973,"Normal"
-17.406,0.076,-0.31449522484375,"Normal"
-19.812,0.078,-0.349140572480322,"Normal"
-22.031,0.08,-0.381093201909064,"Normal"
-24.812,0.082,-0.421138385523904,"Normal"
-25.844,0.084,-0.4359987341361,"Normal"
-23.562,0.086,-0.403138932263009,"Normal"
-19.344,0.088,-0.342401577179442,"Normal"
-12.75,0.09,-0.247450861337566,"Normal"
-5,0.092,-0.135854251120013,"Normal"
2.75,0.094,-0.0242576409024602,"Normal"
10.156,0.096,0.0823855197776942,"Normal"
17.5,0.098,0.188135907576108,"Normal"
25.594,0.1,0.304685967331059,"Normal"
33.219,0.102,0.414482632222523,"Normal"
38.438,0.104,0.489633949477414,"Normal"
38.406,0.106,0.489173163473935,"Normal"
32.781,0.108,0.408175623799905,"Normal"
25.375,0.11,0.301532463119751,"Normal"
16.812,0.112,0.178229008501311,"Normal"
8.0625,0.114,0.0522400354563462,"Normal"
0.21875,0.116,-0.0607065337557738,"Normal"
-6.2188,0.118,-0.153404438027517,"Normal"
-10.188,0.12,-0.210559181934034,"Normal"
-9.6562,0.122,-0.202901494538719,"Normal"
-3.2812,0.124,-0.111104282908151,"Normal"
5.6875,0.126,0.0180410742606445,"Normal"
11.062,0.128,0.0954315235011913,"Normal"
11.781,0.13,0.105784809016859,"Normal"
9.7188,0.132,0.0760900310051634,"Normal"
7.9688,0.134,0.0508907964399095,"Normal"
6.9688,0.136,0.036491233831193,"Normal"
4.4375,0.138,4.16209997489298e-05,"Normal"
-0.78125,0.14,-0.0751060963644903,"Normal"
-9.5625,0.142,-0.201552255522282,"Normal"
-19.188,0.144,-0.340155245412483,"Normal"
-27.531,0.146,-0.460290796257004,"Normal"
-32.906,0.148,-0.537688445278856,"Normal"
-32.438,0.15,-0.530949449977976,"Normal"
-26,0.152,-0.438245065903059,"Normal"
-15.469,0.154,-0.286603272070666,"Normal"
-3.0625,0.156,-0.107955098565625,"Normal"
9.8438,0.158,0.0778899763312529,"Normal"
21.594,0.16,0.247087716896193,"Normal"
30.062,0.162,0.369023213066805,"Normal"
37.156,0.164,0.471173710213039,"Normal"
43.281,0.166,0.559371031191428,"Normal"
48.969,0.168,0.641275743309808,"Normal"
50.406,0.17,0.661967914778533,"Normal"
44.719,0.172,0.580077602222762,"Normal"
33.875,0.174,0.423928745293841,"Normal"
22.406,0.176,0.258780161734471,"Normal"
13.688,0.178,0.133244774911681,"Normal"
9.1875,0.18,0.0684395433911523,"Normal"
5.875,0.182,0.0207409922497789,"Normal"
0.21875,0.184,-0.0607065337557738,"Normal"
-8.8438,0.186,-0.191203289875397,"Normal"
-18.188,0.188,-0.325755682803766,"Normal"
-24.375,0.19,-0.414845776663895,"Normal"
-28.469,0.192,-0.47379758598398,"Normal"
-29.562,0.194,-0.489536307915308,"Normal"
-25.906,0.196,-0.43689150701784,"Normal"
-19.125,0.198,-0.339248072968133,"Normal"
-12.938,0.2,-0.250157979108005,"Normal"
-7.5,0.202,-0.171853157641804,"Normal"
-1.125,0.204,-0.0800559460112366,"Normal"
6.4688,0.206,0.0292914525268347,"Normal"
15.781,0.208,0.163383059451724,"Normal"
25.562,0.21,0.304225181327581,"Normal"
29.625,0.212,0.362730604206796,"Normal"
26.469,0.214,0.317285584613686,"Normal"
20.25,0.216,0.227734704750079,"Normal"
14.188,0.218,0.140444556216039,"Normal"
9.5625,0.22,0.073839379369421,"Normal"
4.125,0.222,-0.00445824231547497,"Normal"
-4.1562,0.224,-0.123703900190778,"Normal"
-12.781,0.226,-0.247897247778436,"Normal"
-14.312,0.228,-0.269942978132381,"Normal"
-6.8125,0.23,-0.161953458348312,"Normal"
0.0625,0.232,-0.0629564654133857,"Normal"
-0.25,0.234,-0.0674563287286096,"Normal"
-2.125,0.236,-0.0944555086199531,"Normal"
1.6562,0.238,-0.0400078824838743,"Normal"
10.375,0.24,0.0855390239890031,"Normal"
18.562,0.242,0.203428243066565,"Normal"
23.875,0.244,0.279933119206676,"Normal"
26.375,0.246,0.315932025728467,"Normal"
26.094,0.248,0.311885748635418,"Normal"
22.844,0.25,0.265087170157089,"Normal"
15.219,0.252,0.155290505265626,"Normal"
4.7812,0.254,0.00499075066836479,"Normal"
-2.9375,0.256,-0.106155153239535,"Normal"
-6.5,0.258,-0.157453595033088,"Normal"
-7.3125,0.26,-0.16915323965267,"Normal"
-8.1875,0.262,-0.181752856935297,"Normal"
-9.9688,0.264,-0.207402797810204,"Normal"
-9.125,0.266,-0.195252446880969,"Normal"
-3.2188,0.268,-0.110205750201367,"Normal"
6.6875,0.27,0.032440636869361,"Normal"
15.219,0.272,0.155290505265626,"Normal"
17.531,0.274,0.188582294016978,"Normal"
14,0.276,0.1377374384456,"Normal"
6.9062,0.278,0.0355898212118873,"Normal"
1.5,0.28,-0.0422570941633558,"Normal"
-1.0625,0.282,-0.0791559733481918,"Normal"
-2.1875,0.284,-0.0953554812829979,"Normal"
-4.9062,0.286,-0.134503572147315,"Normal"
-9.5,0.288,-0.200652282859237,"Normal"
-11.344,0.29,-0.22720507630971,"Normal"
-4.9688,0.292,-0.135404984766621,"Normal"
10.875,0.294,0.0927388052933614,"Normal"
31.438,0.296,0.388837011216399,"Normal"
46.531,0.298,0.606169609669757,"Normal"
51.312,0.3,0.67501391850203,"Normal"
48.031,0.302,0.627768953582831,"Normal"
41.719,0.304,0.536878914396613,"Normal"
36.125,0.306,0.456327761163453,"Normal"
30,0.308,0.368130440185064,"Normal"
21.469,0.31,0.245287771570104,"Normal"
10.781,0.312,0.091385246408142,"Normal"
1.2812,0.314,-0.0454077184621429,"Normal"
-0.96875,0.316,-0.0778060143536246,"Normal"
3.4688,0.318,-0.0139072352993147,"Normal"
7.4062,0.32,0.0427896025162456,"Normal"
6.5312,0.322,0.0301899852336187,"Normal"
2.3125,0.324,-0.0305574495437736,"Normal"
-3.5938,0.326,-0.115605586179636,"Normal"
-6.375,0.328,-0.155653649706998,"Normal"
-1.9062,0.33,-0.0913048843211659,"Normal"
8.0312,0.332,0.0517893291466934,"Normal"
16.656,0.334,0.175982676734351,"Normal"
16.938,0.336,0.180043353390009,"Normal"
9.375,0.338,0.0711394613802866,"Normal"
2.6875,0.34,-0.0251576135655049,"Normal"
4.9688,0.342,0.00769210861376,"Normal"
15.219,0.344,0.155290505265626,"Normal"
27,0.346,0.324931752358915,"Normal"
34.375,0.348,0.431128526598199,"Normal"
34.125,0.35,0.42752863594602,"Normal"
28.469,0.352,0.346084709831119,"Normal"
21.656,0.354,0.247980489777934,"Normal"
20.062,0.356,0.22502758697964,"Normal"
24.719,0.358,0.292086350048433,"Normal"
31.188,0.36,0.38523712056422,"Normal"
35.812,0.362,0.451820698066925,"Normal"
36.5,0.364,0.461727597141722,"Normal"
31.406,0.366,0.38837622521292,"Normal"
22.375,0.368,0.258333775293601,"Normal"
14.438,0.37,0.144044446868218,"Normal"
9.9062,0.372,0.0787885090380368,"Normal"
9.625,0.374,0.0747393520324657,"Normal"
11.969,0.376,0.108491926787297,"Normal"
11.938,0.378,0.108045540346427,"Normal"
4.4375,0.38,4.16209997489298e-05,"Normal"
-8.9062,0.382,-0.192101822582181,"Normal"
-20.156,0.384,-0.35409402201772,"Normal"
-21.781,0.386,-0.377493311256884,"Normal"
-11.156,0.388,-0.224497958539272,"Normal"
7.2188,0.39,0.0400911244833721,"Normal"
23.031,0.392,0.267779888364919,"Normal"
29.406,0.394,0.359577099995487,"Normal"
27.469,0.396,0.331685147222403,"Normal"
24.25,0.398,0.285332955184945,"Normal"
24.969,0.4,0.295686240700612,"Normal"
27.625,0.402,0.333931478989363,"Normal"
28.094,0.404,0.340684873852851,"Normal"
22.094,0.406,0.254287498200552,"Normal"
10.531,0.408,0.0877853557559629,"Normal"
-1.3438,0.41,-0.0832065703100237,"Normal"
-9.2188,0.412,-0.196603125853666,"Normal"
-9.4375,0.414,-0.199752310196192,"Normal"
-1.8125,0.416,-0.0899556453047292,"Normal"
10.438,0.418,0.0864461964333523,"Normal"
24.469,0.42,0.288486459396253,"Normal"
36.688,0.422,0.46443471491216,"Normal"
45.812,0.424,0.595816324154089,"Normal"
51.281,0.426,0.67456753206116,"Normal"
52.656,0.428,0.694366930648145,"Normal"
47.656,0.43,0.622369117604563,"Normal"
34.594,0.432,0.434282030809508,"Normal"
17.469,0.434,0.187689521135238,"Normal"
3.4688,0.436,-0.0139072352993147,"Normal"
-2.75,0.438,-0.103455235250401,"Normal"
-3.25,0.44,-0.110655016554759,"Normal"
-3.0938,0.442,-0.108405804875278,"Normal"
-4.75,0.444,-0.132254360467834,"Normal"
-7.9688,0.446,-0.178603672592771,"Normal"
-5.9688,0.448,-0.149804547375338,"Normal"
9.5938,0.45,0.0742900856790738,"Normal"
33.875,0.452,0.423928745293841,"Normal"
53.312,0.454,0.703813043719463,"Normal"
58.688,0.456,0.781225092303923,"Normal"
51.344,0.458,0.675474704505509,"Normal"
40.031,0.46,0.512572452713099,"Normal"
34.469,0.462,0.432482085483418,"Normal"
39.5,0.464,0.504926284967871,"Normal"
49.75,0.466,0.652521801707215,"Normal"
54.719,0.468,0.724073228309927,"Normal"
49.562,0.47,0.649814683936776,"Normal"
37.062,0.472,0.46982015132782,"Normal"
23.531,0.474,0.274979669669277,"Normal"
15,0.476,0.152137001054317,"Normal"
11.5,0.478,0.101738531923809,"Normal"
7.375,0.48,0.0423403361628536,"Normal"
-3.375,0.482,-0.112454961880849,"Normal"
-15.812,0.484,-0.291542322045456,"Normal"
-20.062,0.486,-0.352740463132501,"Normal"
-15.281,0.488,-0.283896154300227,"Normal"
-7.875,0.49,-0.177252993620073,"Normal"
-0.4375,0.492,-0.070156246717744,"Normal"
8.0938,0.494,0.052690741765999,"Normal"
15.312,0.496,0.156629664588236,"Normal"
21.219,0.498,0.241687880917925,"Normal"
29.125,0.5,0.355530822902437,"Normal"
39.156,0.502,0.499972835430472,"Normal"
46.969,0.504,0.612476618092375,"Normal"
47.969,0.506,0.626876180701091,"Normal"
38.719,0.508,0.493680226570463,"Normal"
25.625,0.51,0.30513235377193,"Normal"
18.406,0.512,0.201181911299605,"Normal"
18.812,0.514,0.207028133718744,"Normal"
21.219,0.516,0.241687880917925,"Normal"
19.688,0.518,0.21964215056398,"Normal"
13.219,0.52,0.126491380048193,"Normal"
3.25,0.522,-0.0170578595981019,"Normal"
-4.2812,0.524,-0.125503845516868,"Normal"
-5.0312,0.526,-0.136303517473405,"Normal"
-2.1875,0.528,-0.0953554812829979,"Normal"
2.8125,0.53,-0.0233576682394154,"Normal"
9.8125,0.532,0.0774392700216001,"Normal"
16.375,0.534,0.171936399641302,"Normal"
17.156,0.536,0.18318245803871,"Normal"
11.344,0.538,0.0994922001568494,"Normal"
6,0.54,0.0225409375758685,"Normal"
7.5938,0.542,0.0454909604616408,"Normal"
17.5,0.544,0.188135907576108,"Normal"
27.906,0.546,0.337977756082412,"Normal"
30.125,0.548,0.369930385511154,"Normal"
22.219,0.55,0.256087443526641,"Normal"
9.25,0.552,0.0693395160541971,"Normal"
-1.375,0.554,-0.0836558366634157,"Normal"
-9.6875,0.556,-0.203352200848372,"Normal"
-19.312,0.558,-0.341940791175963,"Normal"
-26.844,0.56,-0.450398296744816,"Normal"
-24.656,0.562,-0.418892053756944,"Normal"
-12.156,0.564,-0.238897521147988,"Normal"
0.90625,0.566,-0.0508068344622812,"Normal"
8.75,0.568,0.0621397347498388,"Normal"
15.406,0.57,0.157983223473456,"Normal"
24.406,0.572,0.287579286951904,"Normal"
34.625,0.574,0.434728417250378,"Normal"
41.75,0.576,0.537325300837483,"Normal"
41.906,0.578,0.539571632604443,"Normal"
35.812,0.58,0.451820698066925,"Normal"
29.938,0.582,0.367237667303324,"Normal"
27.156,0.584,0.327178084125875,"Normal"
22.156,0.586,0.255180271082292,"Normal"
9.2188,0.588,0.0688902497008051,"Normal"
-8.8438,0.59,-0.191203289875397,"Normal"
-21.719,0.592,-0.376600538375144,"Normal"
-19.219,0.594,-0.340601631853353,"Normal"
-5.1562,0.596,-0.138103462799495,"Normal"
8.2188,0.598,0.0544906870920886,"Normal"
14.125,0.6,0.13953738377169,"Normal"
15.75,0.602,0.162936673010854,"Normal"
16.219,0.604,0.169690067874342,"Normal"
14.375,0.606,0.143137274423869,"Normal"
12.281,0.608,0.112984590321217,"Normal"
