"s","time"
-2.7188,0
-6.3125,0.002
-11.531,0.004
-13.469,0.006
-7.75,0.008
2.7188,0.01
10.812,0.012
13.375,0.014
11.25,0.016
5.8125,0.018
0.28125,0.02
-0.90625,0.022
0.34375,0.024
-1.0625,0.026
-5.0625,0.028
-5.75,0.03
-1.6562,0.032
0.625,0.034
-3.9375,0.036
-12.5,0.038
-17.031,0.04
-16.031,0.042
-12.562,0.044
-9.0938,0.046
-5.3438,0.048
0.71875,0.05
7.7812,0.052
15.156,0.054
22,0.056
25.781,0.058
26.438,0.06
24.906,0.062
21.562,0.064
16.344,0.066
9.1562,0.068
0.78125,0.07
-7.1875,0.072
-13.531,0.074
-17.406,0.076
-19.812,0.078
-22.031,0.08
-24.812,0.082
-25.844,0.084
-23.562,0.086
-19.344,0.088
-12.75,0.09
-5,0.092
2.75,0.094
10.156,0.096
17.5,0.098
25.594,0.1
33.219,0.102
38.438,0.104
38.406,0.106
32.781,0.108
25.375,0.11
16.812,0.112
8.0625,0.114
0.21875,0.116
-6.2188,0.118
-10.188,0.12
-9.6562,0.122
-3.2812,0.124
5.6875,0.126
11.062,0.128
11.781,0.13
9.7188,0.132
7.9688,0.134
6.9688,0.136
4.4375,0.138
-0.78125,0.14
-9.5625,0.142
-19.188,0.144
-27.531,0.146
-32.906,0.148
-32.438,0.15
-26,0.152
-15.469,0.154
-3.0625,0.156
9.8438,0.158
21.594,0.16
30.062,0.162
37.156,0.164
43.281,0.166
48.969,0.168
50.406,0.17
44.719,0.172
33.875,0.174
22.406,0.176
13.688,0.178
9.1875,0.18
5.875,0.182
0.21875,0.184
-8.8438,0.186
-18.188,0.188
-24.375,0.19
-28.469,0.192
-29.562,0.194
-25.906,0.196
-19.125,0.198
-12.938,0.2
-7.5,0.202
-1.125,0.204
6.4688,0.206
15.781,0.208
25.562,0.21
29.625,0.212
26.469,0.214
20.25,0.216
14.188,0.218
9.5625,0.22
4.125,0.222
-4.1562,0.224
-12.781,0.226
-14.312,0.228
-6.8125,0.23
0.0625,0.232
-0.25,0.234
-2.125,0.236
1.6562,0.238
10.375,0.24
18.562,0.242
23.875,0.244
26.375,0.246
26.094,0.248
22.844,0.25
15.219,0.252
4.7812,0.254
-2.9375,0.256
-6.5,0.258
-7.3125,0.26
-8.1875,0.262
-9.9688,0.264
-9.125,0.266
-3.2188,0.268
6.6875,0.27
15.219,0.272
17.531,0.274
14,0.276
6.9062,0.278
1.5,0.28
-1.0625,0.282
-2.1875,0.284
-4.9062,0.286
-9.5,0.288
-11.344,0.29
-4.9688,0.292
10.875,0.294
31.438,0.296
46.531,0.298
51.312,0.3
48.031,0.302
41.719,0.304
36.125,0.306
30,0.308
21.469,0.31
10.781,0.312
1.2812,0.314
-0.96875,0.316
3.4688,0.318
7.4062,0.32
6.5312,0.322
2.3125,0.324
-3.5938,0.326
-6.375,0.328
-1.9062,0.33
8.0312,0.332
16.656,0.334
16.938,0.336
9.375,0.338
2.6875,0.34
4.9688,0.342
15.219,0.344
27,0.346
34.375,0.348
34.125,0.35
28.469,0.352
21.656,0.354
20.062,0.356
24.719,0.358
31.188,0.36
35.812,0.362
36.5,0.364
31.406,0.366
22.375,0.368
14.438,0.37
9.9062,0.372
9.625,0.374
11.969,0.376
11.938,0.378
4.4375,0.38
-8.9062,0.382
-20.156,0.384
-21.781,0.386
-11.156,0.388
7.2188,0.39
23.031,0.392
29.406,0.394
27.469,0.396
24.25,0.398
24.969,0.4
27.625,0.402
28.094,0.404
22.094,0.406
10.531,0.408
-1.3438,0.41
-9.2188,0.412
-9.4375,0.414
-1.8125,0.416
10.438,0.418
24.469,0.42
36.688,0.422
45.812,0.424
51.281,0.426
52.656,0.428
47.656,0.43
34.594,0.432
17.469,0.434
3.4688,0.436
-2.75,0.438
-3.25,0.44
-3.0938,0.442
-4.75,0.444
-7.9688,0.446
-5.9688,0.448
9.5938,0.45
33.875,0.452
53.312,0.454
58.688,0.456
51.344,0.458
40.031,0.46
34.469,0.462
39.5,0.464
49.75,0.466
54.719,0.468
49.562,0.47
37.062,0.472
23.531,0.474
15,0.476
11.5,0.478
7.375,0.48
-3.375,0.482
-15.812,0.484
-20.062,0.486
-15.281,0.488
-7.875,0.49
-0.4375,0.492
8.0938,0.494
15.312,0.496
21.219,0.498
29.125,0.5
39.156,0.502
46.969,0.504
47.969,0.506
38.719,0.508
25.625,0.51
18.406,0.512
18.812,0.514
21.219,0.516
19.688,0.518
13.219,0.52
3.25,0.522
-4.2812,0.524
-5.0312,0.526
-2.1875,0.528
2.8125,0.53
9.8125,0.532
16.375,0.534
17.156,0.536
11.344,0.538
6,0.54
7.5938,0.542
17.5,0.544
27.906,0.546
30.125,0.548
22.219,0.55
9.25,0.552
-1.375,0.554
-9.6875,0.556
-19.312,0.558
-26.844,0.56
-24.656,0.562
-12.156,0.564
0.90625,0.566
8.75,0.568
15.406,0.57
24.406,0.572
34.625,0.574
41.75,0.576
41.906,0.578
35.812,0.58
29.938,0.582
27.156,0.584
22.156,0.586
9.2188,0.588
-8.8438,0.59
-21.719,0.592
-19.219,0.594
-5.1562,0.596
8.2188,0.598
14.125,0.6
15.75,0.602
16.219,0.604
14.375,0.606
12.281,0.608
11.781,0.61
10,0.612
6.4062,0.614
3.2812,0.616
6.1562,0.618
13.906,0.62
18.75,0.622
16.438,0.624
9.2812,0.626
6.8438,0.628
13.969,0.63
23.719,0.632
26.125,0.634
19.844,0.636
12.781,0.638
11.594,0.64
16.031,0.642
18.156,0.644
12.531,0.646
3.25,0.648
-4.9062,0.65
-9.2188,0.652
-9.4375,0.654
-5.0938,0.656
4.5625,0.658
12.938,0.66
14.781,0.662
13.406,0.664
16.375,0.666
23.875,0.668
30.312,0.67
32.781,0.672
29.594,0.674
19.281,0.676
3.1875,0.678
-13.344,0.68
-22.094,0.682
-18.656,0.684
-7.375,0.686
3.9688,0.688
11.844,0.69
17.094,0.692
22.969,0.694
30.062,0.696
33.781,0.698
29.625,0.7
18.906,0.702
5.25,0.704
-4.2812,0.706
-5.9062,0.708
-2.4375,0.71
2.3125,0.712
5.6562,0.714
8.125,0.716
11.281,0.718
13.719,0.72
13.125,0.722
9.4062,0.724
2,0.726
-10.281,0.728
-26.688,0.73
-37.75,0.732
-33.312,0.734
-15.406,0.736
5.3438,0.738
23.875,0.74
38.781,0.742
49.656,0.744
55.594,0.746
53.469,0.748
43.469,0.75
28.25,0.752
11.125,0.754
-3.5312,0.756
-14.156,0.758
-20.469,0.76
-23.094,0.762
-18.656,0.764
-4.125,0.766
13.938,0.768
28.281,0.77
34.781,0.772
30.438,0.774
18.562,0.776
8.4062,0.778
3.7812,0.78
1.125,0.782
-0.6875,0.784
-1.5312,0.786
-1.0312,0.788
0.4375,0.79
1.3438,0.792
-0.03125,0.794
-3.0938,0.796
-1.3438,0.798
9.6562,0.8
22.469,0.802
25.781,0.804
15.219,0.806
-2.0625,0.808
-10.188,0.81
-0.90625,0.812
18.219,0.814
32.188,0.816
32.281,0.818
24.625,0.82
18.656,0.822
17.344,0.824
19.125,0.826
23.656,0.828
29.25,0.83
30.156,0.832
20.594,0.834
2.6562,0.836
-15.344,0.838
-26.125,0.84
-27.844,0.842
-21.312,0.844
-7.6562,0.846
6.375,0.848
16.281,0.85
23.906,0.852
32.188,0.854
38.594,0.856
41.375,0.858
44.781,0.86
49.438,0.862
47.562,0.864
32.5,0.866
9.8438,0.868
-4.5938,0.87
-2.7812,0.872
8.0625,0.874
16.188,0.876
17.625,0.878
17.188,0.88
18.844,0.882
23.656,0.884
29.906,0.886
31.969,0.888
26.938,0.89
16.438,0.892
4.5312,0.894
-7.6562,0.896
-15.438,0.898
-13.031,0.9
-5.5938,0.902
-2.875,0.904
-9.7188,0.906
-21.281,0.908
-28.094,0.91
-23.656,0.912
-9.0938,0.914
6.5625,0.916
16.531,0.918
20.938,0.92
22.812,0.922
23.375,0.924
23.594,0.926
24.344,0.928
27.281,0.93
29.625,0.932
25.312,0.934
12.406,0.936
-1.0625,0.938
-4.7188,0.94
-0.15625,0.942
5.5625,0.944
10.125,0.946
14.531,0.948
18.844,0.95
19.688,0.952
12.969,0.954
-1.375,0.956
-15.781,0.958
-19.844,0.96
-13.594,0.962
-4.0938,0.964
2.4688,0.966
6.2812,0.968
11.656,0.97
20.25,0.972
31.625,0.974
41.844,0.976
48.562,0.978
50.469,0.98
45.562,0.982
33.844,0.984
18.5,0.986
4.625,0.988
-5.4375,0.99
-13.062,0.992
-17.125,0.994
-12.688,0.996
-0.3125,0.998
8.375,1
5.2812,1.002
-5.5,1.004
-15.375,1.006
-16.969,1.008
-6.5938,1.01
10.156,1.012
24.25,1.014
